phone_model,Rating,Price Rs
TECNO Spark 6,5.0,9499.0
Redmi 9i (Midnight,4.5,8799.0
Samsung Galaxy J6,4.5,9490.0
Realme C12 (Power,4.5,8999.0
Redmi 9i (Sea,4.5,8799.0
Infinix Hot 8,4.5,8499.0
Infinix Hot 9,4.5,9499.0
Realme Narzo 10A,4.5,9499.0
Redmi 9i (Nature,4.5,8799.0
"Redmi Y2 (Blue,",4.5,9199.0
"Redmi Y2 (Black,",4.5,8999.0
Samsung Galaxy A10,4.4,7990.0
Redmi 9A (Nature,4.4,8574.0
"Redmi 9A (SeaBlue,",4.4,8099.0
Realme C3 (Volcano,4.4,9499.0
Realme C3 (Frozen,4.4,9499.0
Realme C3 (Blazing,4.4,9999.0
Realme C2 (Diamond,4.4,6749.0
Redmi 9A (Sea,4.4,9142.0
Realme C11 (Rich,4.4,7499.0
OPPO A71 New,4.4,9940.0
Redmi Note 5,4.4,9990.0
"OPPO A3s (Red,",4.4,9500.0
Redmi 9A (Midnight,4.4,8637.25
Redmi 8 (Emerald,4.4,9999.0
Redmi 8 (Ruby,4.4,9999.0
Redmi 8 (Sapphire,4.4,9999.0
"Vivo Y81i (Black,",4.4,9800.0
Infinix Smart 4,4.4,7999.0
Redmi 8 (Onyx,4.4,9999.0
Tecno Camon I,4.300000000000001,8897.5
"OPPO A5s (Red,",4.3,8990.0
Motorola E7 Plus,4.3,9499.0
Vivo Y91i (Ocean,4.3,8443.333333333334
"OPPO A12 (Blue,",4.3,9990.0
"OPPO A3s (Purple,",4.3,8990.0
Vivo Y91i (Fusion,4.3,8490.0
Redmi 8A (Sunset,4.3,8999.0
"OPPO A5s (Black,",4.3,9240.0
Itel A44 Pro,4.3,6142.5
"OPPO A5s (Blue,",4.3,8990.0
Samsung Galaxy A10s,4.3,9949.0
Samsung Galaxy J2,4.3,7749.5
Samsung Galaxy J4,4.3,9245.0
Redmi 8A (Midnight,4.3,8990.0
Tecno SPARK 6,4.3,7923.0
"Vivo Y90 (Gold,",4.3,7990.0
Redmi 7 (Lunar,4.3,9190.0
Redmi 7 (Eclipse,4.3,9450.0
Redmi 7 (Comet,4.3,9299.0
"Vivo Y71i (Gold,",4.3,8900.0
"Redmi 6A (Gold,",4.3,7399.0
"Redmi 6A (Blue,",4.3,7399.0
Redmi 5 (Rose,4.3,8499.0
"Redmi 5 (Black,",4.3,8498.0
Vivo Y11 (Mineral,4.3,9990.0
Vivo Y11 (Agate,4.3,9990.0
TECNO SPARK 6,4.3,7815.0
Tecno Spark Power,4.3,9999.0
Tecno Spark Go,4.3,6499.0
Tecno Spark 5,4.3,9244.5
"OPPO A12 (Black,",4.3,9990.0
"Lenovo A7 (Blue,",4.25,9240.0
"Lenovo A7 (Black,",4.25,9240.0
OPPO A11K (Deep,4.2,8990.0
Redmi 8A Dual,4.2,8859.1
"Redmi 4 (Gold,",4.2,8990.0
"Redmi 4 (Black,",4.2,8990.0
OPPO A11K (Flowing,4.2,8990.0
"Gionee F10 (Blue,",4.2,7990.0
Vivo Y53 (Matte,4.2,8490.0
Virat FanBox Moto,4.2,8999.0
"Lava Z61 (Gold,",4.2,5999.0
Vivo Y53i (Matte,4.2,7990.0
Samsung Galaxy M01,4.2,8614.75
Tecno Camon i,4.15,8138.25
Itel Vision1 (Gradation,4.1,6999.0
"Nokia 2.3 (Charcoal,",4.1,9999.0
ITEL A46 (DARK,4.1,6099.0
Asus Zenfone Max,4.1,7599.0
Itel A22 Pro,4.1,5970.0
"Nokia 2.3 (Sand,",4.1,9999.0
Nokia 2.3 (Cyan,4.1,9274.0
Gionee S10 Lite,4.1,9984.0
ITEL A46 (NEON,4.1,6099.0
ITEL A46 (FIERY,4.1,6099.0
Micromax Canvas Infinity,4.1,7370.0
Lava Z66 (Marine,4.1,7777.0
Lava Z66 (Berry,4.1,8490.0
"Meizu C9 (Gold,",4.1,5784.5
"Panasonic P101 (Gold,",4.0,5940.0
Gionee Max (Royal,4.0,5999.0
Itel Selfiepro S41,4.0,5999.0
"Gionee Max (Red,",4.0,5999.0
Gionee S11 Lite,4.0,8994.0
"Nokia 3.1 (Blue/Copper,",4.0,9999.0
"Nokia 3.1 (Black,",4.0,9999.0
"Panasonic P101 (Black,",4.0,5999.0
Lava Z61 Pro,4.0,5777.0
Moto E 4th,4.0,8499.0
Tecno Spark 4,4.0,6499.0
Yu Yureka Black,4.0,6889.0
"Panasonic P101 (Blue,",4.0,5999.0
Spinup A10 (Shine,3.9,6449.0
"Honor 9S (Blue,",3.9,6499.0
InFocus Snap 4,3.9,9499.0
InFocus Turbo 5,3.9,9500.0
"Honor 9S (Black,",3.9,6499.0
Gionee F103 Pro,3.9,8690.0
Coolpad Note 5,3.9,9995.0
Nokia 3 (Matte,3.9,8490.0
"Micromax iOne (Black,",3.9,5999.0
Comio S1 4G,3.9,8295.0
"Gionee P7 (Gold,",3.8,7999.0
Coolpad Note 3S,3.8,6509.0
Coolpad Mega 5A,3.8,7550.0
Comio X1 Note,3.8,8495.0
Yu Yunique 2,3.8,6699.0
Panasonic Eluga I8,3.8,8145.0
Leagoo M9 Pro,3.8,7499.0
TCL 560 (Dark,3.8,8999.0
Realme C15 (Power,3.8,9999.0
InFocus A3 (Jet,3.8,9500.0
Karbonn Yuva 2,3.8,6334.0
Mobiistar E1 Selfie,3.8,8490.0
Micromax CANVAS 2,3.8,7799.0
Micromax Canvas 2,3.75,6872.0
Samsung M01 core,3.7000000000000006,6485.666666666667
Panasonic Eluga I7,3.7,6490.0
Panasonic ELUGA I6,3.7,5999.0
Karbonn Titanium S9,3.7,6699.0
LG W10 Alpha,3.7,8490.0
Mobiistar X1 Dual,3.7,9999.0
Micromax Selfie 2,3.7,7299.0
Micromax Canvas 6,3.7,7999.0
"Lava Z70 (Gold,",3.7,6295.0
Alcatel U5 HD,3.6,6499.0
Panasonic Eluga Ray,3.6,8999.0
Panasonic Eluga I2,3.6,6999.0
Celkon Diamond U,3.6,6499.0
Coolpad Cool 3,3.6,8999.0
ZOPO Color -,3.6,5989.0
"VOTO V12 (Champagne,",3.5,3945.0
"VOTO V12 (Black,",3.5,3930.0
Micromax Bharat 4,3.5,5525.0
Voto V2i (Champagne,3.5,4890.0
"Voto V2i (Black,",3.5,4890.0
Voto V2 (Rose,3.5,4499.0
"Voto V2 (Champagne,",3.5,3990.0
"Voto V2 (Black,",3.5,4199.0
"Forme R7 (Red&Black,",3.5,5950.0
Forme R7S (Champagne,3.5,6999.0
"Homtom H5 (Gold,",3.5,6499.0
I Kall K200,3.5,4565.666666666667
BlackZone UNI 4G,3.4,5500.0
Coolpad Mega 5C,3.4,5185.0
"VOTO V11 (Blue,",3.4,4190.0
I Kall K9,3.4,4799.0
I Kall K7,3.3,4799.0
Ismart i1 EPIC,3.2,4999.0
I Kall K800,3.2,4499.0
I Kall K,3.1999999999999997,5932.333333333333
I Kall K3,3.1,5399.0
I kall K10,3.0,5899.0
I Kall K220,3.0,4799.0
Ismart i 1,3.0,5899.0
I Kall K6,3.0,6299.0
"Gome U7 (Black,",2.9,9789.0
I Kall K600,2.9,3949.0
Ismart Extreme (Sea,2.9,6299.0
I Kall K1000,2.8,6049.0
I Kall K400,2.8,6099.0
I Kall K210,2.8,4499.0
"Kekai S5 (Blue,",2.8,4679.0
Ismart I1 Dynamite,2.8,4999.0
I Kall K201,2.7,5299.0
I Kall K4,2.6333333333333333,5565.666666666667
Itel VISION 1,2.5,6899.0
Ismart Is-58 Power,2.5,4299.0
Yu Yutopia (Graphite,2.5,7180.0
I Kall K300,2.4,6799.0
I Kall K-2,,5899.0
I Kall K260,,4699.0
Ismart I1 Extreme,,6299.0
Realme Narzo 20A,,8999.0
"Spinup A9 (Blue,",,6449.0
TECNO Spark Air,,8240.0
